fire_id,latitude,longitude,acq_date,acq_time,ml_prediction,ml_probability,user_label,feedback_date,notes
26.9391_49.4833_2025-11-22_0000,26.9391,49.4833,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
26.9388_49.4839_2025-11-22_0000,26.9388,49.4839,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
26.9529_49.5087_2025-11-22_0000,26.9529,49.5087,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
26.9534_49.5072_2025-11-22_0000,26.9534,49.5072,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
25.4614_49.6013_2025-11-22_0000,25.4614,49.6013,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
24.5111_46.8579_2025-11-22_0000,24.5111,46.8579,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
24.4025_46.7865_2025-11-22_0000,24.4025,46.7865,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
24.5168_46.7077_2025-11-22_0000,24.5168,46.7077,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
24.5012_45.873_2025-11-22_0000,24.5012,45.873,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
27.5239_42.5778_2025-11-22_0000,27.5239,42.5778,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
27.5281_42.601_2025-11-22_0000,27.5281,42.601,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
27.5286_42.6005_2025-11-22_0000,27.5286,42.6005,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
27.5173_42.5944_2025-11-22_0000,27.5173,42.5944,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
27.487_42.5966_2025-11-22_0000,27.487,42.5966,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
27.4846_42.5956_2025-11-22_0000,27.4846,42.5956,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
25.0596_38.8667_2025-11-22_0000,25.0596,38.8667,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
25.0197_38.9657_2025-11-22_0000,25.0197,38.9657,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
24.1307_39.6551_2025-11-22_0000,24.1307,39.6551,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
24.1253_39.6565_2025-11-22_0000,24.1253,39.6565,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
23.9786_38.257_2025-11-22_0000,23.9786,38.257,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
26.6797_37.914_2025-11-22_0000,26.6797,37.914,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
26.7295_37.894_2025-11-22_0000,26.7295,37.894,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
26.8387_37.9526_2025-11-22_0000,26.8387,37.9526,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
27.5304_35.5386_2025-11-22_0000,27.5304,35.5386,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
21.3224_39.3143_2025-11-22_0000,21.3224,39.3143,2025-11-22,0000,unknown,0.5,wildfire,2025-11-22,NA
31.4161_38.6833_2025-11-22_0000,31.4161,38.6833,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
31.4135_38.6866_2025-11-22_0000,31.4135,38.6866,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
31.4342_39.1327_2025-11-22_0000,31.4342,39.1327,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
31.4358_39.132_2025-11-22_0000,31.4358,39.132,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
31.4363_39.1262_2025-11-22_0000,31.4363,39.1262,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
31.4354_39.1294_2025-11-22_0000,31.4354,39.1294,2025-11-22,0000,unknown,0.5,industrial_flare,2025-11-22,NA
